line	page	week	num_likes	domain	outlet	title	description	contenttype	image	url	text	id	right_of_center
1283	DieLinke	19	0	change.org	Change.org	#Bahnstreik-Petition für Solidarität mit der #GDL und für Wahrung des Streikrechts	Der Druck aus Politik, Medien und Teilen der Bevölkerung auf die Gewerkschaft GdL ist unerträglich geworden. Die GdL nimmt mit ihrem soeben ausgerufenen Streik ein fundamentales Grundrecht wahr. Zu Recht verweist sie darauf, daß der Vorstand der Deutschen Bahn im Verein mit der Bundesregierung und der...		http://d22r54gnmuhwmk.cloudfront.net/photos/4/bd/qy/DLBDQYSSaUgRxKr-1600x900-noPad.jpg?1430753122	https://www.change.org/p/bahnstreik-petition-für-solidarität-mit-der-gdl-und-für-wahrung-des-streikrechts	Liebe Change.org-Nutzerinnen und -Nutzer, wir setzen auf Change.org Cookies ein, um Ihnen möglichst viele interessante Inhalte anzuzeigen. Weitere Informationen. OK, das habe ich verstanden Zum Hauptinhalt wechseln 	1283	False
1286	DieLinke	19	1	regenwald.org		Bitte unterschreiben: Wald schützen, Biosprit stoppen	Indonesiens Präsident Joko Widodo subventioniert Biodiesel massiv und verlangt, dass 20 Prozent des Diesels aus Palmöl sind. Diese Quote ist weltweit die höchste. Diese Politik fördert Konzerne - auf Kosten der Orang-Utans und der Menschen. Unterschreiben Sie unsere Petition gegen diese Subventionen.	article	https://www.regenwald.org/uploads/photos/base/orang-outan-avaaz.jpg	https://www.regenwald.org/aktion/986/entscheidung-am-montag-soll-der-wald-fuer-biodiesel-sterben	Regenwaldaktion in Berlin            ( © Rettet den Regenwald ) 18.04.2016 Dem Präsidenten auf den Fersen: Regenwald-Aktion in Berlin Anlässlich des Deutschland-Besuchs des indonesischen Präsidenten Joko Widodo demonstrierten heute 30 Aktivisten von Rettet den Regenwald in Berlin. Unsere Forderung: Wald schützen, Biosprit stoppen! Wir sind dem indonesichen Präsidenten mit Bannern, Plakaten und Sprechchören quer durch Berlin gefolgt: Los ging es morgens mit einer Demo vor dem Hotel Adlon, in dem Joko Widodo sich mit Wirtschaftsvertretern traf. Danach empfing Bundeskanzlerin Merkel ihn im Bundeskanzleramt. Wir warteten schon hinter der Absperrung. Den Abschluss unserer Berlinreise bildete dann eine gemeinsame Demo von Rettet den Regenwald, Watch Indonesia und Amnesty International vor der indonesischen Botschaft. Erste Erfolge der Aktion gibt es schon: Die wichtigsten Tageszeitungen in Indonesien haben über ihre Deutschlandkorrespondenten von unserer Petition erfahren und entsprechende Pressemitteilungen bekommen. Unsere zwei Petitionen mit insgesamt über 346.000 Unterschriften haben wir dem Militärattaché aus der Deligation des Präsidenten übergeben. Wir bleiben weiter dran, damit die indonesische Regierung endlich gegen die Vernichtung von Regenwald vorgeht. Dass selbst die Berliner Polizei in der Nähe des Brandenburger Tors durch unsere Aktion aufgeschreckt wurde, zeigt, dass unsere friedlichen Proteste in Deutschland und der Kampf unserer Partnerorganisationen in Indonesien nicht unbemerkt bleiben. Deutsche und indonesische Politiker können nicht vorgeben, nichts von der Regenwaldvernichtung zu wissen. Und wir sammeln weiter Unterschriften. 	1286	False
1297	DieLinke	19	596	youtube.com	YouTube	Gregor Gysi, DIE LINKE: Spionageskandal kann einer der größten in der Geschichte der BRD werden	05.05.2015, Pressestatement vor der Fraktionssitzung zum BND-Spionageskandal und zu den aktuellen Streiks	video	https://i.ytimg.com/vi/TUFfvhNP3-k/hqdefault.jpg	https://www.youtube.com/watch?v=TUFfvhNP3-k		1297	False
1301	DieLinke	19	163	rosalux.de		RLS - 100 Tage Syriza	Was hat sich in Griechenland verändert und wie können Linke und Gewerkschaften hierzulande Druck auf Merkel und Co. aufbauen?		http://www.rosalux.de/fileadmin/images/Veranstaltungen/2015/rls-100-Tage-Syriza-1.jpg	http://www.rosalux.de/documentation/53211/100-tage-syriza-3.html	Veranstaltung Diskussion / Vortrag Mit Giorgos Chondros (Syriza), Hannah Eberle (Blockupy) und Bernd Riexinger (DIE LINKE); Moderation: Wenke Christoph (RLS) Mittwoch, 06.05.2015 | 19:00 Uhr 	1301	False
2582	DieGruenen	19	0	change.org	Change.org	#Bahnstreik-Petition für Solidarität mit der #GDL und für Wahrung des Streikrechts	Der Druck aus Politik, Medien und Teilen der Bevölkerung auf die Gewerkschaft GdL ist unerträglich geworden. Die GdL nimmt mit ihrem soeben ausgerufenen Streik ein fundamentales Grundrecht wahr. Zu Recht verweist sie darauf, daß der Vorstand der Deutschen Bahn im Verein mit der Bundesregierung und der...		http://d22r54gnmuhwmk.cloudfront.net/photos/4/bd/qy/DLBDQYSSaUgRxKr-1600x900-noPad.jpg?1430753122	https://www.change.org/p/bahnstreik-petition-für-solidarität-mit-der-gdl-und-für-wahrung-des-streikrechts	Liebe Change.org-Nutzerinnen und -Nutzer, wir setzen auf Change.org Cookies ein, um Ihnen möglichst viele interessante Inhalte anzuzeigen. Weitere Informationen. OK, das habe ich verstanden Zum Hauptinhalt wechseln 	2582	False
2586	DieGruenen	19	0	youtube.com	YouTube	Trude Herr - Ich will keine Schokolade 1965	Trude Herr - Ich will keine Schokolade 1965 (Original von 1959) Ich lebe unerhört solide, und habe nie ein Rendezvous. Ich gehe höchstens mit den Eltern ein ...	video	https://i.ytimg.com/vi/j_8g-eNkaq4/hqdefault.jpg	https://www.youtube.com/watch?v=j_8g-eNkaq4		2586	False
2588	DieGruenen	19	0	spiegel.de	SPIEGEL ONLINE	Großbritannien-Wahl: Cameron kann allein regieren - SPIEGEL ONLINE	Premierminister David Cameron hat es geschafft: Seine Konservativen haben die absolute Mehrheit im britischen Parlament. Statt eine Koalition schmieden zu müssen, kann er jetzt allein regieren.	article	http://cdn1.spiegel.de/images/image-846128-galleryV9-mrkq-846128.jpg	http://www.spiegel.de/politik/ausland/grossbritannien-wahl-david-cameron-kann-allein-regieren-a-1032749.html	"gantern 08.05.2015 Cameron ist der strahlende Sieger, wie ich es erwartet hatte. Nicht, dass ich mich als einen besonders Kundiger für Großbritannien in Szene setzen möchte. Aber die Ankündigungen, die immer aufdringlicher wurden, ""Kopf an [...] Cameron ist der strahlende Sieger, wie ich es erwartet hatte. Nicht, dass ich mich als einen besonders Kundiger für Großbritannien in Szene setzen möchte. Aber die Ankündigungen, die immer aufdringlicher wurden, ""Kopf an Kopf"", kamen mir zu bekannt vor. Medien lassen sich wohl immer und überall leicht vor den Karren derer spannen, die dringend ihr Wahlvolk in großer Zahl an die Urnen haben möchten. friedrich_eckard 08.05.2015 Kann allein regieren - oder muss allein regieren? Jetzt bekommen die Konservativen vielleicht drei oder vier Stimmen über die ""absolute"" hinaus, und das bedeutet, dass Cameron an den Strippen der verschiedenen [...] Kann allein regieren - oder muss allein regieren? Jetzt bekommen die Konservativen vielleicht drei oder vier Stimmen über die ""absolute"" hinaus, und das bedeutet, dass Cameron an den Strippen der verschiedenen ""Ultras"" in den eigen Reihen - ""Europaskeptiker"" oder Sozailreaktionäre - zappel darf, ohne sich hinter Koalitionsrücksichten verstecken zu können. Ich habe mitr sagen lassen, dass die ""Fraktionsdisziplin"" auf der Insel bei weitem nicht so ausgeprägt sein soll wie hierzulande... da gab es doch einmal einen Menschen namens Pyrrhus... grumpy53 08.05.2015 Man muss zur Kenntnis nehmen, dass Labour erst mal weg vom Fenster sind. Vermutlich haben Blair und Brown soviel Scherben angerichtet, dass es Jahrzehnte zur Erholung braucht. Trotzdem negativ faszinierend ist, dass die 10fache [...] Man muss zur Kenntnis nehmen, dass Labour erst mal weg vom Fenster sind. Vermutlich haben Blair und Brown soviel Scherben angerichtet, dass es Jahrzehnte zur Erholung braucht. Trotzdem negativ faszinierend ist, dass die 10fache Anzahl von Food Banks (Tafel - Essen für sozial Schwache) keinen interessiert, dass junge Menschen sich in den Ballungsgebieten kaum mehr Wohnraum leisten können, um von zuhause auszuziehen - und dann eine Familie zu gründen. Dass der propagierte Wirtschaftswachstum auf Billigjobs beruht, dass Menschen von einem Gehalt nicht leben können, sondern mehrere Jobs zu schlechten Konditionen machen müssen, ist schließlich kein Segen. Dass in London und Umgebung Krankenschwestern, Postboten, Polizisten und Verkäuferinnen keinen bezahlbaren Wohnraum finden, Superreiche die Immobilien lieber leer stehen lassen, um noch reicher zu werden, alles Tendenzen, die eigentlich sozial denkende Wähler beflügeln müssten. Aber in dem Fall geht es Miliband und seiner Partei wie hierzulande der SPD, vor lauter Verbeugen von fast rechts bis fast links verliert man die klassische Arbeiterklasse aus den Augen und macht sich bei der Mittelschicht, die noch intellektuell und tendenziell links wählen könnte, wenig Freunde. Und dann diese Panik der Leute, die Schotten sollen uns nicht regieren. Lachhaft. England regiert lange genug die Schotten und die Waliser, das wird für gut befunden. Als ob die Schotten von heute auf morgen verfügen würden, dass jetzt alle Kilt tragen müssen und Haggis essen. Alles Panikmache. Warten wir ab, ob sie wirklich aus der EU austreten und was daraus wird. Ich persönlich halte das Wahlergebnis für ein Desaster. klemer 08.05.2015 Als in Schottland lebender Deutscher bin ich entsetzt darueber, das jetzt 60 xenophobe Hinterbaenkler die UK aus der EU treiben werden.  Und hoch erfreut darueber, dass Schottland durch das kommende EU Referendum nun doch die [...] Als in Schottland lebender Deutscher bin ich entsetzt darueber, das jetzt 60 xenophobe Hinterbaenkler die UK aus der EU treiben werden.  Und hoch erfreut darueber, dass Schottland durch das kommende EU Referendum nun doch die Gelegenheit bekommt selbststaendig zu werden. bruno47 08.05.2015 Cameron hat seinen Wählern die Abstimmung über den Verbleib in der EU versprochen. Es ist schon pervers, dass in einem Verbund von demokratischen Staaten die Ankündigung einer demokratischen Volksabstimmung blankes Entsetzen [...] Cameron hat seinen Wählern die Abstimmung über den Verbleib in der EU versprochen. Es ist schon pervers, dass in einem Verbund von demokratischen Staaten die Ankündigung einer demokratischen Volksabstimmung blankes Entsetzen hervorruft. "	2588	False
2595	DieGruenen	19	0	google.com	Google Docs	Open Letter on the Appointment of Jean Todt as UN Special Envoy for Road Safety	Many NGOs, academics, and other professionals in road safety and transport have expressed their concern about the process for the selection of the UN Special Envoy for Road Safety, and last week's surprise appointment of Jean Todt, President of FIA, to that position.  Therefore, a open letter has been drafted about the issue. You can find a copy of the letter for your review in three languages:  English: drive.google.com/file/d/0B-tiVw1CPXcNaXlxX25UdURPa2s/view  Français: drive.google.com/file/d/0B-tiVw1CPXcNU21OS1R1U09XTDQ/view  Español drive.google.com/file/d/0B-tiVw1CPXcNMVZmNmNzTVNnem8/view  If your organization would like to sign on to this letter, please fill out the fields below and submit no later than 12:00PM GMT on Friday, May 8.  The letter will then be publicly distributed on behalf of the signers to the relevant officials at the United Nations, as well as to the media.  The letter is open to all organizations to sign. The individuals signing on behalf of their organization must provide an email address at the domain for their organization or the signature can not be considered.  Note that when the letter is publicly distributed, only organizations will be identified as signers, not the individual contacts at the organizations.	article	https://lh6.googleusercontent.com/C85yeo0BW0XfxNXP9OlTbWx3qQsWLVwpEs8INHhT6S-DiptpXySaeUFSquzyYj5MecQ=w1200-h630-p	https://docs.google.com/forms/d/1So8LuWqpjWEFTy-HyzNlVi_p6diZJH21QoGDlD6COkI/viewform?usp=embed_facebook	Open Letter on the Appointment of Jean Todt as UN Special Envoy for Road Safety Many NGOs, academics, and other professionals in road safety and transport have expressed their concern about the process for the selection of the UN Special Envoy for Road Safety, and last week's surprise appointment of Jean Todt, President of FIA, to that position. Therefore, a open letter has been drafted about the issue. You can find a copy of the letter for your review in three languages: English: drive.google.com/file/d/0B-tiVw1CPXcNMVZmNmNzTVNnem8/view If your organization would like to sign on to this letter, please fill out the fields below and submit no later than 12:00PM GMT on Friday, May 8. The letter will then be publicly distributed on behalf of the signers to the relevant officials at the United Nations, as well as to the media. The letter is open to all organizations to sign. The individuals signing on behalf of their organization must provide an email address at the domain for their organization or the signature can not be considered. Note that when the letter is publicly distributed, only organizations will be identified as signers, not the individual contacts at the organizations. * Erforderlich 	2595	False
2597	DieGruenen	19	0	google.com	Google Docs	Open Letter on the Appointment of Jean Todt as UN Special Envoy for Road Safety	Many NGOs, academics, and other professionals in road safety and transport have expressed their concern about the process for the selection of the UN Special Envoy for Road Safety, and last week's surprise appointment of Jean Todt, President of FIA, to that position.  Therefore, a open letter has been drafted about the issue. You can find a copy of the letter for your review in three languages:  English: drive.google.com/file/d/0B-tiVw1CPXcNaXlxX25UdURPa2s/view  Français: drive.google.com/file/d/0B-tiVw1CPXcNU21OS1R1U09XTDQ/view  Español drive.google.com/file/d/0B-tiVw1CPXcNMVZmNmNzTVNnem8/view  If your organization would like to sign on to this letter, please fill out the fields below and submit no later than 12:00PM GMT on Friday, May 8.  The letter will then be publicly distributed on behalf of the signers to the relevant officials at the United Nations, as well as to the media.  The letter is open to all organizations to sign. The individuals signing on behalf of their organization must provide an email address at the domain for their organization or the signature can not be considered.  Note that when the letter is publicly distributed, only organizations will be identified as signers, not the individual contacts at the organizations.	article	https://lh6.googleusercontent.com/C85yeo0BW0XfxNXP9OlTbWx3qQsWLVwpEs8INHhT6S-DiptpXySaeUFSquzyYj5MecQ=w1200-h630-p	https://docs.google.com/forms/d/1So8LuWqpjWEFTy-HyzNlVi_p6diZJH21QoGDlD6COkI/viewform?usp=embed_facebook	Open Letter on the Appointment of Jean Todt as UN Special Envoy for Road Safety Many NGOs, academics, and other professionals in road safety and transport have expressed their concern about the process for the selection of the UN Special Envoy for Road Safety, and last week's surprise appointment of Jean Todt, President of FIA, to that position. Therefore, a open letter has been drafted about the issue. You can find a copy of the letter for your review in three languages: English: drive.google.com/file/d/0B-tiVw1CPXcNMVZmNmNzTVNnem8/view If your organization would like to sign on to this letter, please fill out the fields below and submit no later than 12:00PM GMT on Friday, May 8. The letter will then be publicly distributed on behalf of the signers to the relevant officials at the United Nations, as well as to the media. The letter is open to all organizations to sign. The individuals signing on behalf of their organization must provide an email address at the domain for their organization or the signature can not be considered. Note that when the letter is publicly distributed, only organizations will be identified as signers, not the individual contacts at the organizations. * Erforderlich 	2597	False
2601	DieGruenen	19	0	merkur.de	http://www.merkur.de	Pfarrer schlägt vor: Prostituierte für Asylbewerber	Siegertsbrunn - Bei einer Diskussion der CSU in Siegertsbrunn zum Thema Asyl regt der pensionierte Pfarrer an, Asylbewerbern die Dienste von Prostituierten zur Verfügung zu stellen.	article	http://www.merkur.de/bilder/2015/03/05/4791059/199197911-wagner-GTlLjO78Qef.jpg	http://www.merkur.de/lokales/muenchen-lk-sued/pfarrer-schlaegt-vor-prostituierte-asylbewerber-4791059.html	"Diese Männer haben ein sexuelles Bedürfnis Pfarrer schlägt vor: Prostituierte für Asylbewerber Siegertsbrunn - Bei einer Diskussion der CSU in Siegertsbrunn zum Thema Asyl regt der pensionierte Pfarrer an, Asylbewerbern die Dienste von Prostituierten zur Verfügung zu stellen. Herr Wagner, Sie haben bei einer Asyldebatte in Siegertsbrunn neben vielem anderen angeregt, Asylbewerbern die Dienste von Prostituierten zur Verfügung zu stellen. Ist das Ihr Ernst? Der Gedanke kam, als mir ein Freund erzählt hat, dass in sein Dorf 100 Asylbewerber kommen und jetzt viele Angst hätten, dass so viele Männer die Frauen im Ort belästigen könnten. Ob begründet oder nicht: Diesen Ängsten will ich damit begegnen. Denn es gibt sie. Lesen Sie auch: Prostituierte für Asylbewerber? ""Makaber und geschmacklos"" Glauben Sie, das ist der richtige Weg? Ich möchte doch bestimmt kein Flatrate-Bordell für Asylbewerber, aber klar ist: Diese Männer haben ein sexuelles Bedürfnis. Da machen wir aber die Augen zu, soweit denkt niemand. Wir schauen weg ?  Der Bedarf ist doch da. In unserer Gesellschaft haben wir doch auch Prostitution, das soll doch ein anerkannter Beruf sein, die Zeitungen und das Internet sind voll mit Anzeigen. Wenn’s aber um Asylbewerber geht, geben wir ihnen zu essen, zu trinken und sagen: Das Problem ist gelöst. Ist es aber nicht. Also Gratis-Schäferstündchen aus Steuergeldern?  Mein erster Gedanke ist gar nicht, wer das bezahlt. Aber es gab ja mal einen Hartz IV-Empfänger, der erklagen wollte, dass ihm seine Bordellbesuche bezahlt werden. Der hatte natürlich keinen Erfolg. Aber vielleicht findet sich auch da ein Unterstützerkreis. „Freie Liebe für freie Menschen“ könnte der heißen. Einen Namen hätten Sie also schon.  Ich bin ohne Scheu. Vielleicht erklärt sich auch ein Bordellbesitzer bereit, ein gutes Werk zu tun. Am Vormittag ist da ja eh nicht viel los, vermute ich. Sie haben wirklich wenig Scheu. Sehen Sie, der Bürgermeister kann das natürlich nicht ansprechen, kein Politiker kann das. Katholische Pfarrer sowieso nicht. Wer darf denn sowas noch sagen, wenn nicht ein evangelischer Pfarrer? - Bis jetzt sind Sie da aber der einzige, soweit wir wissen.  Ja, wenn ich das mit Kollegen bespreche, ernte ich auch immer großes Staunen. Viele würden nicht einmal wagen, etwas Derartiges zu denken. Da sage ich dann: „Ihr redet immer nur so freundlich und nett.“ - Wie, glauben Sie, komen Ihre Aussagen an?  Ich bin ein freier Bürger, ich habe eine freie Meinung. Wenn sich jemand über mich ärgern will, kann er sich ärgern. Und wahrscheinlich werden sich einige aufregen. Aber das ist deren Problem. Und Ihre Kirche?  Ich halte die neuerliche Tendenz in der Kirche für ganz schlimm, anderen vorzuschreiben, welche Meinung sie zu haben haben. Wir sind nicht in Nordkorea. Aber da werden natürlich einige sagen: „Typisch Wagner!“ Ihnen ist das egal? Ich muss mich allein vor dem Herrgott verantworten. Das Gespräch führte "	2601	False
